seqno,organizer,no,address,tax_id_number,twd97x,twd97y,wgs84ax,wgs84ay,date
21,新合記實業有限公司,99610362,新北市新莊區幸福東路六０號,34014947,296909.48,2771352.3100000001,121.4649099211,25.0496032681,20230731
22,傳貴豆皮工廠,99618617,新北市板橋區南雅南路一段四巷一六號,33666478,295889.47,2766431.2000000002,121.4546373471,25.0052064877,20230731
23,樂口福食品股份有限公司深坑工廠,99600358,新北市深坑區文山路1段33號,19087104,313532.5,2766313.8399999999,121.6294182948,25.0035100042,20230731
24,南亞茶業股份有限公司,99689894,新北市三芝區橫山路一三之一號,33759594,300460.54,2794417.8599999999,121.500952239,25.2577212984,20230731
25,天興豆腐店,99689352,新北市板橋區文化路一段四二一巷二七號,33033621,297034.51,2768433.0099999998,121.466049494,25.0232438169,20230731
26,鴻明冷凍食品股份有限公司,99690131,新北市瑞芳區大寮路八四號,4545428,328827.38,2777102.8999999999,121.7815525155,25.1001896866,20230731
27,濟生股份有限公司,99612784,新北市新莊區福營路二二七巷二三號,4309819,293420.71,2769109.8599999999,121.4302636793,25.0294624172,20230731
28,永利油廠有限公司,99610191,新北市新莊區化成路三八九巷六六號,35874319,296718.73,2772291.3199999998,121.4630513811,25.0580865701,20230731
29,富記食品有限公司泰山廠,99615544,新北市泰山區貴和里貴陽街五號,4274706,292517.69,2769550.8799999999,121.4213292733,25.0334696629,20230731
30,中立食品工業股份有限公司,99610549,新北市新莊區思源路九二號,27005133,296437.77,2770922.02,121.4602205792,25.0457331057,20230731
31,鮮太王食品工業股份有限公司,99603189,新北市土城區工業區大同街一五之一號,97198133,294707.52,2762812.4199999999,121.442810687,24.9725709758,20230731
32,振記冷藏股份有限公司,99605752,新北市新莊區中正路六一巷三號,35858269,296650.21,2770210.6299999999,121.4623017839,25.0393041317,20230731
33,德合豆沙工廠,99617720,新北市中和區連城路二一六、二一八號,34157727,299609.75,2765490.79,121.4914602526,24.9965991324,20230731
34,三順冷凍有限公司,99606653,新北市板橋區干城路一五九號,27474851,296509.11,2764988.8399999999,121.4607275735,24.9921658371,20230731
35,有豐食品股份有限公司淡水廠,99606991,新北市淡水區椿子林二０之一號,89590248,298566.88,2788429.0800000001,121.4819401115,25.2037184348,20230731
36,樺興化學工業有限公司,99610519,新北市新莊區化成路389巷18號,35940916,296858.96,2772325.1899999999,121.4644423784,25.0583879809,20230731
37,文興食品工業股份有限公司淡水廠,99690093,新北市淡水區坪頂里小平頂二三之一二號,31133342,297944.02,2783178.48,121.4755754903,25.1563368467,20230731
38,大醇食品股份有限公司,99600313,新北市淡水區行忠路328號,5078012,296444.05,2788000.3700000001,121.4608607716,25.1999153134,20230731
39,代岱食品工廠,99609940,新北市板橋區中山路二段一四八巷三四號,33976733,298143.71,2767644.3300000001,121.4770123574,25.0160886853,20230731
40,台研食品有限公司,99604829,新北市三重區中興北街一五０巷三一號,34095722,297187.78,2772114.7400000002,121.4676941859,25.0564777865,20230731
41,寶龍食品廠有限公司,99610486,新北市樹林區三俊街一五九巷三五號,34463752,292301.48,2767686.9100000001,121.4191295957,25.0166475966,20230731
42,台灣留蘭香股份有限公司大屯廠,99617087,新北市淡水區小坑子頭5之1號,4375248,298707.56,2789428.8500000001,121.4833717419,25.2127396484,20230731
43,振源食品科技股份有限公司,99689272,新北市汐止區八連路一段七八巷一號,18852136,314908.41,2774884.5,121.6434525201,25.0808255393,20230731
44,昌桔食品有限公司土城廠,99600293,新北市土城區民權街14號,80537594,291983.31,2761898.2400000002,121.4158013371,24.9643953914,20230731
45,高印昌股份有限公司,99614371,新北市樹林區三俊街九０巷六、八號,24259062,291806.63,2767528.3199999998,121.4142218463,25.0152295176,20230731
46,東鈴冷凍股份有限公司二廠,99611707,新北市中和區中山路二段三八七號,34334097,299152.04,2766370.3500000001,121.4869573035,25.004554786,20230731
47,華昇食品工廠股份有限公司,99600865,新北市瑞芳區頂坪路一三五號,33853036,329982,2777316,121.793011714,25.102052644,20230731
48,欣和興食品股份有限公司,99608390,新北市樹林區佳園路一段90號,16247280,289718.36,2762437.6000000001,121.3933852773,24.9693257742,20230731
49,寒山物產商業有限公司,99618736,新北市中和區安邦街一四號,34342809,300048.56,2765671.3300000001,121.4958137468,24.9982146266,20230731
50,松記食品工業有限公司,99611202,新北市新莊區頭前路二巷七號,36031978,297254.51,2771750.5099999998,121.4683430849,25.0531874895,20230731
51,中立食品工業股份有限公司新莊二廠,99610930,新北市新莊區思源路84巷5號,27005133,296490.48,2770887.8799999999,121.4607417271,25.0454232579,20230731
52,臺灣威化企業有限公司,99601779,新北市新莊區頭前路一九號三樓,2082674,297220.65,2771682.7799999998,121.4680051153,25.0525770465,20230731
53,佑福食品有限公司,99601668,新北市泰山區明志路三段四０七巷五號,86272368,292549.18,2769597.5800000001,121.4216426968,25.0338903407,20230731
54,雙氏企業有限公司,99605164,新北市汐止區連興街一四八巷一號一樓,39611134,315974.78,2772719.4500000002,121.6539193401,25.0612339068,20230731
55,立基食品股份有限公司瑞芳一廠,99602072,新北市瑞芳區頂坪路一二號,30888763,329804.59,2776830.27,121.7912247502,25.0976771246,20230731
56,頂昌企業有限公司,99607109,新北市土城區永豐路一九五巷二三號,23832998,297866.18,2763599.6200000001,121.4741224905,24.979581565,20230731
57,智慧餅店,99690087,新北市板橋區三民路二段二四五巷四弄一四號一樓,8542387,298502.22,2767220.6699999999,121.4805495403,25.0122524814,20230731
58,口洛佳食品實業有限公司,99606737,新北市新店區安泰路六０巷九０弄七八號,86611732,298841.38,2759733.96,121.4836453388,24.9446509039,20230731
59,三豐食品工廠,99604702,新北市新莊區化成路一００之一號,1995321,296956.09,2770746.0499999998,121.4653512412,25.0441284359,20230731
60,吉美食品廠,99607282,新北市板橋區觀光街六一號,34110272,297476.81,2767679.8999999999,121.4704060302,25.0164308684,20230731
61,伍弘實業有限公司,99604376,新北市板橋區大觀路三段三六巷八九弄八號,34113502,293808.52,2765630.6000000001,121.4339960239,24.9980401126,20230731
62,金瑞珍糕餅店,99689933,新北市瑞芳區中正路八八號,33868657,331223.91,2777955.3900000001,121.8053620847,25.1077583455,20230731
63,聯淳國際股份有限公司,99606854,新北市中和區中山路二段三八０巷三號,97014959,299558.8,2766272.2400000002,121.4909835035,25.0036558217,20230731
64,上好食品廠有限公司,99619158,新北市汐止區大同路一段一四六巷一二號,23108926,313759.93,2771995.3900000001,121.6319340022,25.0547923138,20230731
65,茄苳實業廠有限公司,99618202,新北市三重區自強路四段三一巷八號一樓,36363526,299376.52,2774379.9700000002,121.4894681462,25.0768583628,20230731
66,達益食品工業股份有限公司大有廠,99604243,新北市三重區中正北路三四三、三四五號,35466600,297713.75,2773810.6000000001,121.4729658655,25.0717714953,20230731
67,易成食品企業有限公司,99612669,新北市三重區重陽路一段一一三巷一弄三九號,36252330,299224.08,2772381.1600000001,121.4878856267,25.0588181185,20230731
68,貴州醬業有限公司,99603622,新北市三峽區橫溪路九九巷二六號,1864046,290428.95,2758812.1899999999,121.4003171941,24.9365760207,20230731
69,寶島油脂股份有限公司,99603846,新北市土城區慶祥街一０二號,86992107,293962.38,2762817.48,121.4354307684,24.9726384105,20230731
70,品良食品有限公司,99604154,新北市淡水區學府路一九四、一九六號一樓,37507959,295048.77,2785367.73,121.446929153,25.1761906158,20230731
71,生豐食品廠有限公司,99689149,新北市中和區中正路一二０六巷一九號一、二樓,23478286,298463.81,2767139.8799999999,121.4801661495,25.0115243174,20230731
72,奕嘉食品廠,99617796,新北市鶯歌區鶯桃路94巷59弄8號1樓,1871617,284492.59,2760873.2999999998,121.3415891025,24.9553305941,20230731
73,阜晟企業股份有限公司,99691118,新北市瑞芳區魚坑路二００號,940171,329717,2778169,121.790433973,25.1097670327,20230731
74,銘珍食品廠有限公司,99618971,新北市淡水區下圭柔山一一九之一二號,7553202,295627.41,2788848.3100000001,121.4527858177,25.207595344,20230731
75,和益製麵廠股份有限公司板橋廠,99607756,新北市板橋區干城路一三九號三、四樓,16648475,296421.53,2765113.46,121.4598642272,24.9932935917,20230731
76,萬年春茶業股份有限公司板橋廠,99619903,新北市板橋區廣新里懷仁街一０巷三號,30965830,,,,,20230731
77,芳福企業有限公司,99609192,新北市新莊區化成路三七五巷三五、三七號,22057097,296813.72,2772247.27,121.4639913064,25.0576859179,20230731
78,新北市樹林區農會稻穀加工廠,99600370,新北市樹林區寶園街11號,33421903,289026.82,2760676.5899999999,121.3864864932,24.9534449207,20230731
79,大安好食品有限公司,99611003,新北市新莊區化成路一九０巷一二號,16650113,297047.37,2771009.3100000001,121.4662648383,25.046502321,20230731
80,芬芳烹材股份有限公司,99600563,新北市樹林區武林街9號之6（1~3樓）,84503548,292221.97,2766082.1000000001,121.4182927823,25.0021613377,20230731
81,蘇州采芝齋食品行,99612481,新北市三重區中正北路一五號,33899201,299702.13,2772699.7799999998,121.4926351598,25.0616790246,20230731
82,品川實業股份有限公司,99600911,新北市瑞芳區頂坪路七八號,22173693,329982,2777316,121.793011714,25.102052644,20230731
83,富山共同製茶廠,99609881,新北市三峽區成福路247、249號,1924348,293095.37,2757541.3100000001,121.4266794097,24.9250290555,20230731
84,大人行實業有限公司,99618781,新北市中和區橋和路九五號,5152960,299514.35,2766489.73,121.4905509436,25.0056207605,20230731
85,良億食品廠,99689691,新北市中和區自立路一四一巷九號一樓,2368973,302776,2765176.1499999999,121.5228137786,24.9936516665,20230731
86,欣裕食品有限公司,99605944,新北市新店區民權路一五七、一五九號三樓,22247203,303913.04,2763960.9900000002,121.5340298411,24.9826411618,20230731
87,虎林食品行,99612911,新北市三重區中正北路25巷21號1樓,1976582,299748.7,2772790.5899999999,121.493099985,25.0624972758,20230731
88,王一企業有限公司,99689753,新北市永和區永貞路三二０號一樓,31256006,301645.3,2766441.8100000001,121.5116603586,25.0051170362,20230731
89,祥茂糖菓工廠,99619694,新北市坪林區坪林里二六號一樓,33821909,321988.59,2759583.2400000002,121.7128380074,24.9423699824,20230731
90,漢點食品工廠有限公司,99605227,新北市新莊區自立街二一四巷一０弄二二號一樓,22768929,296049.27,2770836.3599999999,121.4563675881,25.044971648,20230731
91,順溢油業有限公司,99604153,新北市土城區慶祥街四二號,22223119,294110.59,2763027.6400000001,121.4369053918,24.9745315295,20230731
92,青峰實業股份有限公司,99605201,新北市中和區中正路1226號5樓之1,20790729,298388.92,2767080.2999999998,121.4794220869,25.0109887703,20230731
93,信好食品廠,99617575,新北市汐止區大同路一段三三七巷一六弄一八號,2296964,314320.44,2772680.3300000001,121.6375210659,25.0609520069,20230731
94,聯米企業股份有限公司,99613616,新北市樹林區光武街三六巷一號,86213452,292097.9,2766543.2799999998,121.4170776935,25.0063284262,20230731
95,青映食品冷凍股份有限公司,99605340,新北市汐止區大同路1段358號,22389173,314598.7,2772603.1499999999,121.6402752748,25.0602434127,20230731
96,國暉國際有限公司,99604859,新北市新店區中正路五四二之一號四樓,4890618,303887.59,2764171.8399999999,121.5337859399,24.984545639,20230731
97,竹軒西點麵包店,99604924,新北市樹林區中山路一段九一號一樓,34205093,292739.89,2764865.4399999999,121.4233860674,24.9911626683,20230731
98,上發食品廠,99610365,新北市新莊區化成路二九巷八六號,2163161,296632.77,2770740.4900000002,121.4621469196,25.0440882731,20230731
99,頂嘉麻油食品工廠,99601564,新北市土城區亞洲路五八巷五弄一八號,1927160,293829.92,2762933.6200000001,121.4341224771,24.9736908349,20230731
100,元福美食品廠,99604287,新北市林口區中正路二五九號一樓,35838807,289388.17,2774427.9900000002,121.3904573548,25.0775854121,20230731
101,品愿股份有限公司五股廠,99602377,新北市五股區五工三路一二一號,22727456,295825.94,2773398.6499999999,121.454239548,25.0681109297,20230731
102,銘洋食品冷凍股份有限公司,99619554,新北市五股區五權八路三三號,22997492,295254.39,2773487.6899999999,121.4485772414,25.068931997,20230731
103,振芳食品工廠,99611779,新北市新莊區福營路二二七巷四五及四七號,35325807,293438.97,2768999.79,121.4304411136,25.0284681985,20230731
104,美佳利蛋糕麵包廠,99618551,新北市新店區寶橋路二一二號,38060415,305634.48,2763503.1600000001,121.5510623303,24.9784457668,20230731
105,五魚實業有限公司,99603566,新北市樹林區三俊街七四巷四四號,34685115,291766.23,2767369.4199999999,121.4138167589,25.0137961046,20230731
106,宏鑫碾米廠,99617864,新北市中和區中正路一二０六巷四號,2377071,298479.78,2767066.3500000001,121.4803218002,25.0108599458,20230731
107,漢軒食品廠股份有限公司,99689655,新北市新店區民權路九０巷三五號三樓,22748282,304153.48,2764122.54,121.5364177375,24.9840911016,20230731
108,晶品股份有限公司新莊廠,99602254,新北市五股區五工路一二六號,22394204,295524.85,2773454.4100000001,121.4512569927,25.0686233912,20230731
109,譚少華食品廠有限公司,99619771,新北市汐止區南陽街一二０巷七號一、二樓,22318163,312948.35,2772597.6200000001,121.6239182497,25.060263099,20230731
110,海歷香食品廠,99616359,新北市新店區民權路九０巷三六號二樓,2288768,304168.03,2764123.3300000001,121.5365619105,24.9840977439,20230731
111,統力食品企業股份有限公司樹林廠,99600505,新北市樹林區柑園街1段192號,34428046,289907.49,2761030.54,121.3952178438,24.9566176153,20230731
112,啓生食品工業股份有限公司,99615678,新北市中和區中山路3段136巷10弄10號,23391514,297879.31,2766645.98,121.4743581084,25.0070839633,20230731
113,益弘食品有限公司,99608963,新北市中和區中山路二段三四０巷四七號,80579290,299774.7,2766309.02,121.4931237097,25.0039807705,20230731
114,長旺興業有限公司,99615745,新北市中和區中山路二段三四０巷一九號,22370723,299807.24,2766202.9199999999,121.4934422874,25.003021845,20230731
115,仕維生股份有限公司汐止廠,99619901,新北市汐止區環河街一七六號,12487549,313374.14,2772272.79,121.6281233227,25.0573128069,20230731
116,新北食品股份有限公司,99617888,新北市三重區國道路1段59號,53683051,298537.15,2773925.1000000001,121.4811316832,25.0727790509,20230731
117,立台食品工業股份有限公司,99618602,新北市三重區光華路59號,36286198,297129.79,2772498.6099999999,121.4671325535,25.0599452031,20230731
118,正全製茶工廠,99615809,新北市三峽區竹崙里竹崙路一六號,34146530,293114.5,2757277.1099999999,121.4268605743,24.922643207,20230731
119,名泓實業股份有限公司,99603273,新北市五股區五權六路15號(1樓),23123623,295382.85,2773043.7200000002,121.4498359639,25.064919972,20230731
120,漢皇食品廠,99689367,新北市中和區景新街三二號一樓,66940503,300797.38,2765798.0800000001,121.5032364924,24.9993340682,20230731
121,西北食品工業股份有限公司,99606358,新北市林口區粉寮路一段一０二號,5634685,290345.6,2774896.8300000001,121.3999619256,25.081792817,20230731
122,台芳香料化學股份有限公司,99602623,新北市新店區寶橋路二三五巷八號六樓,4987107,305710.15,2763696.2999999998,121.5518196019,24.9801866909,20230731
123,詩特莉食品股份有限公司,99615096,新北市新店區寶橋路二三五巷一四號六樓,23225889,305677.34,2763741.2799999998,121.5514964523,24.9805939642,20230731
124,仰南食品股份有限公司鶯歌廠,99616720,新北市鶯歌區八德路二巷三七弄一０號,23166158,284038.45,2759876.7999999998,121.337067247,24.9463441875,20230731
125,華信食品工業有限公司,99603478,新北市新莊區民安西路四六０巷二一號,22071226,293470.06,2766690.4700000002,121.4306764802,25.0076185443,20230731
126,浩漢食品廠有限公司,99605088,新北市三重區中正北路五三０巷一七號,2090908,297597.54,2773712.1699999999,121.4718105977,25.0708865745,20230731
127,得立食品股份有限公司,99604216,新北市新店區民權路四八之三號二樓,23516943,304488.45,2764009.8300000001,121.5397311715,24.9830615305,20230731
128,明泉米粉廠,99610333,新北市新莊區民安西路四六０巷一三號,78217434,293487.53,2766707.6699999999,121.4308500244,25.0077733087,20230731
129,虹旭企業有限公司,99689764,新北市汐止區福德一路三九二巷二二弄一四號,30922636,313320.95,2772776.3199999998,121.6276193662,25.0618608644,20230731
130,煌輝食品企業有限公司,99613891,新北市樹林區中正路二六四巷一號,23689389,292137.99,2766723.4700000002,121.4174803372,25.0079540678,20230731
131,立基食品股份有限公司瑞芳二廠,99602092,新北市瑞芳區傑興里頂坪路瑞芳工業區二一號,30888763,329774.77,2776904.6699999999,121.7909334241,25.0983503715,20230731
132,丸郁食品冷凍股份有限公司,99600833,新北市瑞芳區頂坪路五四號,23467605,329982,2777316,121.793011714,25.102052644,20230731
133,寶之川股份有限公司土城廠,99617164,新北市土城區永豐路一九五巷七弄五號,16791438,297603.54,2763554.9900000002,121.4715195474,24.9791869042,20230731
134,可愛食品有限公司,99616929,新北市汐止區福德一路三九二巷四一弄一四號,4835799,313144.68,2772845.96,121.6258754558,25.0624969025,20230731
135,南嘉有限公司台北廠,99619638,新北市汐止區福德一路三九二巷五號,11454725,313287.34,2772690.1899999999,121.6272822708,25.0610846356,20230731
136,啟元食品廠,99604074,新北市淡水區民族路一一號,37112610,296423.28,2781039.9199999999,121.4604186467,25.1370777969,20230731
137,瑞昶貿易股份有限公司五股廠,99600376,新北市五股區五工二路一一六巷九號,4310533,295938.44,2773686.8599999999,121.4553643424,25.0707094573,20230731
138,琦美製冰股份有限公司,99608646,新北市三重區中興北街一０八號,22455659,297404.93,2771242.71,121.4698163232,25.0485983388,20230731
139,七味之友有限公司,99602416,新北市五股區五工五路四六號,22407989,295291.2,2773319.9900000002,121.4489366097,25.0674168389,20230731
140,旺昌食品有限公司,99612252,新北市三重區新北大道2段139巷26號,16481377,297056.47,2772563.8799999999,121.4664080784,25.060536805,20230731
141,正泉豆腐工廠有限公司,99617579,新北市板橋區三民路一段一三八巷一一號一樓,84193473,298277.41,2768124.7400000002,121.478353803,25.0204216415,20230731
142,同祥有限公司,99610205,新北市新莊區中正路五一四巷五三弄一八號,23979599,293528,2769580.6000000001,121.4313416711,25.033709196,20230731
143,旭梅企業有限公司,99602039,新北市瑞芳區頂坪路九０號,31118948,329982,2777316,121.793011714,25.102052644,20230731
144,七星香料股份有限公司,99610185,新北市新莊區化成路一一巷八九弄一一號,4424206,296643.36,2770619.3100000001,121.4622476958,25.0429939395,20230731
145,育力企業有限公司,99607867,新北市板橋區干城路一三九號二樓,86199472,296421.53,2765113.46,121.4598642272,24.9932935917,20230731
146,永好食品廠有限公司,99602717,新北市新莊區福營路一六五巷六號,86225268,293616.78,2769256.6800000002,121.4322111136,25.0307823371,20230731
147,滋美企業有限公司,99613746,新北市板橋區重慶路二六九巷五一號,23839471,296920.58,2765741.4900000002,121.4648290785,24.9989481604,20230731
148,聖風有限公司,99603505,新北市新莊區五權一路五號四樓之七,9431521,296199.43,2773185.1800000002,121.4579345081,25.066172262,20230731
149,今達食品有限公司,99614495,新北市五股區國道路3段8巷10號,23911894,297339.11,2774129.1600000001,121.4692632608,25.0746592363,20230731
150,全壽龍實業有限公司,99608340,新北市新店區中正路四維巷八弄一三號四樓,23383269,304005.86,2764177.3900000001,121.5349576397,24.984591596,20230731
151,惠格實業有限公司,99618700,新北市汐止區大安街56巷14號,22585034,318417.04,2774068.5899999999,121.678191945,25.0733049274,20230731
152,振芳股份有限公司,99601954,新北市五股區五工六路19號,3341208,295364.97,2772754.3799999999,121.4496492068,25.0623083337,20230731
153,日正食品工業股份有限公司深坑廠,99617126,新北市深坑區北深路三段一四一巷九號,22425683,310897.04,2766154.0299999998,121.6033028964,25.002175398,20230731
154,長隆食品股份有限公司,99606633,新北市板橋區信義路一六三巷四號三樓,86587493,296358.03,2765040.5699999998,121.4592327716,24.9926374915,20230731
155,聯發國際餐飲事業股份有限公司,99604586,新北市蘆洲區國道路2段26號4樓,80676602,297865.88,2774028.5499999998,121.4744813674,25.07373441,20230731
156,百原食品有限公司,99616579,新北市五股區中興路1段61號、59號(1樓),16995453,297200.52,2773895.21,121.4678814735,25.0725515413,20230731
157,超人有限公司,99615794,新北市中和區中板路15巷1號3樓,89498349,298884.36,2767136.23,121.4843325879,25.011477848,20230731
158,柏泰食品興業股份有限公司,99613503,新北市新店區中正路五四巷三十號五樓,38443032,305065.97,2762631.6400000001,121.5453966668,24.9705983798,20230731
159,大同茶業股份有限公司土城廠,99601691,新北市土城區自強街二二號,7015204,293654.1,2762685.2000000002,121.4323732791,24.9714531176,20230731
160,鬍鬚張股份有限公司五股廠,99602405,新北市五股區五工一路一０六號,22721208,296131.72,2773588.4199999999,121.4572768272,25.0698148559,20230731
161,佳糧股份有限公司,99602026,新北市新莊區五權二路二四號之一,23517823,296261.35,2773362.71,121.4585541469,25.0677731586,20230731
162,愛欣食品有限公司,99601194,新北市淡水區八勢一街一號,89797986,296366.42,2783146.8500000001,121.4599260532,25.1561006678,20230731
163,群賀食品企業有限公司,99690661,新北市中和區立德街二六巷五弄五號,84520716,299429.93,2766671.5499999998,121.4897211933,25.0072650123,20230731
164,晉東食品工業有限公司,99610474,新北市土城區中央路三段一二六巷三六弄一號,84240525,293862.38,2762313.29,121.4344243319,24.9680894602,20230731
165,三益化工香料有限公司,99603380,新北市中和區建三路五七號七樓,22911946,299074.22,2766064.1099999999,121.4861754608,25.0017925898,20230731
166,福亭食品工業有限公司,99615986,新北市土城區亞洲路四二號,84560168,293990.56,2762960.77,121.4357144587,24.9739312288,20230731
167,邱氏鼎食品企業股份有限公司土城廠,99600825,新北市土城區自強街三一之二及之三號,5135956,293320.01,2762446.4700000002,121.4290568349,24.9693073614,20230731
168,味冠食品有限公司,99613750,新北市土城區永豐路一九五巷七弄三號,23394126,297576.08,2763542.3900000001,121.4712471114,24.9790740296,20230731
169,源崑食品有限公司,99611483,新北市新莊區雙鳳路一０九號五樓,84591319,291773.04,2768950.8500000001,121.4139321091,25.0280732463,20230731
170,偉翔生技開發股份有限公司,99606338,新北市三重區重新路5段609巷4號10樓,84643105,297196.89,2770903.46,121.4677429128,25.0455421082,20230731
171,鴻福食品工廠有限公司板橋二廠,99606943,新北市板橋區金門街三六九巷六五號,34440941,293314.06,2764042.04,121.4290479215,24.9837125694,20230731
172,魔術食品工業股份有限公司,99603098,新北市樹林區光興街六一號,23930626,291479.08,2766145.04,121.4109349863,25.0027501375,20230731
173,真味行食品股份有限公司,99601822,新北市三重區中興北街一００之五及之六號,89224475,297373.71,2771038.6600000001,121.4694998985,25.0467571838,20230731
174,禮莊食品企業有限公司,99617240,新北市土城區承天路八巷一九號,16785180,294106.55,2761760.1299999999,121.4368249747,24.9630883496,20230731
175,百健產物有限公司,99607332,新北市中和區中板路7之1號5樓,86416301,298928.02,2767145.4900000002,121.4847654384,25.0115600411,20230731
176,高印企業有限公司,99614546,新北市樹林區三俊街七四巷一一號,36102902,291751.16,2767562.25,121.4136732854,25.0155374016,20230731
177,百正研化食品有限公司,99605806,新北市中和區中板路7之2號5樓,89840962,298928.02,2767145.4900000002,121.4847654384,25.0115600411,20230731
178,億鄉有限公司,99611799,新北市三重區中興北街一三六巷二二號,89888509,297203.63,2772047.3500000001,121.4678489526,25.0558688944,20230731
179,味都股份有限公司,99611829,新北市新莊區雙鳳路一０七號六樓,23615839,291789.97,2768949.79,121.4140998689,25.0280632236,20230731
180,助福食品有限公司,99601132,新北市樹林區東豐街49巷10號,86263776,291886.47,2763078.2999999998,121.4148780239,24.9750518638,20230731
181,安佳隆美容事業股份有限公司新店二廠,99606897,新北市新店區中正路五三八巷一０號五樓,23456608,303950.3,2764127.1200000001,121.5344053169,24.9841397272,20230731
182,益康企業股份有限公司五股廠,99602221,新北市新莊區五權一路七號七樓之一０,22454960,296240.18,2773237.5600000001,121.4583401362,25.0666439717,20230731
183,狀元香食品有限公司汐止廠,99617638,新北市汐止區大同路一段二八六巷一三號,84268776,314102.45,2772243.9100000001,121.6353402505,25.0570214456,20230731
184,洪牌食品股份有限公司︵樹林廠︶,99602546,新北市樹林區新興街一六號,86649771,290392.68,2762921.9700000002,121.4000779475,24.9736810246,20230731
185,常饌食品股份有限公司,99606064,新北市中和區中正路八一六號,89797070,298956.09,2766222.3900000001,121.4850107947,25.0032253299,20230731
186,超比食品企業股份有限公司,99618110,新北市汐止區大同路一段三０二巷六號,84791870,314164.17,2772310.3700000001,121.6359549839,25.0576187799,20230731
187,鋒美食品實業有限公司,99607184,新北市樹林區東豐街四九巷二二弄二三號,96873782,291818.74,2763038.73,121.4142059366,24.9746965428,20230731
188,嘉禾食品有限公司,99615990,新北市三峽區嘉添里嘉添181之22號,23211077,289386.26,2755064.6200000001,121.3898865673,24.902769386,20230731
189,佳郁企業股份有限公司樹林廠,99606417,新北市樹林區東興街4巷8號,12542260,291273.5,2763573.6000000001,121.4088215311,24.9795402971,20230731
190,今點食品股份有限公司三重廠,99608643,新北市三重區光復路一段九九巷九號,96936442,297726.53,2771501.04,121.4730125299,25.0509204157,20230731
191,鑫大盒餐實業有限公司,99690650,新北市土城區永豐路二七０巷一九弄一號地下層,23848680,297487.18,2763285.7400000002,121.4703577594,24.9767597428,20230731
192,金寧食品有限公司,99603545,新北市土城區自強街三之二號二樓,89991742,293320.01,2762446.4700000002,121.4290568349,24.9693073614,20230731
193,大丘店有限公司,99605617,新北市汐止區康寧街169巷27之1號4樓之3,89596192,312816.04,2773539.8199999998,121.6226498887,25.0687745755,20230731
